"age","p01","p3","p85","p97","p999"
"8a","12.3","13.4","17.5","19.4","23.1"
"8a1m","12.3","13.4","17.5","19.4","23.2"
"8a2m","12.3","13.5","17.6","19.5","23.4"
"8a3m","12.4","13.5","17.6","19.5","23.5"
"8a4m","12.4","13.5","17.7","19.6","23.6"
"8a5m","12.4","13.5","17.7","19.7","23.8"
"8a6m","12.4","13.5","17.7","19.7","23.9"
"8a7m","12.4","13.5","17.8","19.8","24"
"8a8m","12.4","13.5","17.8","19.9","24.2"
"8a9m","12.4","13.6","17.9","19.9","24.3"
"8a10m","12.5","13.6","17.9","20","24.4"
"8a11m","12.5","13.6","17.9","20","24.6"
"9a","12.5","13.6","18","20.1","24.7"
"9a1m","12.5","13.6","18","20.2","24.9"
"9a2m","12.5","13.7","18.1","20.2","25"
"9a3m","12.5","13.7","18.1","20.3","25.2"
"9a4m","12.6","13.7","18.2","20.4","25.3"
"9a5m","12.6","13.7","18.2","20.5","25.5"
"9a6m","12.6","13.7","18.3","20.5","25.7"
"9a7m","12.6","13.7","18.3","20.6","25.8"
"9a8m","12.6","13.8","18.4","20.7","26"
"9a9m","12.6","13.8","18.4","20.8","26.1"
"9a10m","12.7","13.8","18.5","20.8","26.3"
"9a11m","12.7","13.8","18.5","20.9","26.5"
"10a","12.7","13.9","18.6","21","26.6"
"10a1m","12.7","13.9","18.6","21.1","26.8"
"10a2m","12.7","13.9","18.7","21.1","27"
"10a3m","12.8","13.9","18.7","21.2","27.2"
"10a4m","12.8","14","18.8","21.3","27.3"
"10a5m","12.8","14","18.8","21.4","27.5"
"10a6m","12.8","14","18.9","21.5","27.7"
"10a7m","12.8","14","19","21.6","27.9"
"10a8m","12.9","14.1","19","21.6","28"
"10a9m","12.9","14.1","19.1","21.7","28.2"
"10a10m","12.9","14.1","19.1","21.8","28.4"
"10a11m","12.9","14.2","19.2","21.9","28.6"
"11a","13","14.2","19.3","22","28.7"
"11a1m","13","14.2","19.3","22.1","28.9"
"11a2m","13","14.3","19.4","22.2","29.1"
"11a3m","13","14.3","19.4","22.2","29.3"
"11a4m","13.1","14.3","19.5","22.3","29.4"
"11a5m","13.1","14.4","19.6","22.4","29.6"
"11a6m","13.1","14.4","19.6","22.5","29.8"
"11a7m","13.2","14.4","19.7","22.6","30"
"11a8m","13.2","14.5","19.8","22.7","30.1"
"11a9m","13.2","14.5","19.8","22.8","30.3"
"11a10m","13.2","14.5","19.9","22.9","30.5"
"11a11m","13.3","14.6","20","23","30.6"
"12a","13.3","14.6","20.1","23.1","30.8"
"12a1m","13.3","14.6","20.1","23.1","31"
"12a2m","13.4","14.7","20.2","23.2","31.1"
"12a3m","13.4","14.7","20.3","23.3","31.3"
"12a4m","13.4","14.8","20.3","23.4","31.4"
"12a5m","13.5","14.8","20.4","23.5","31.6"
"12a6m","13.5","14.8","20.5","23.6","31.7"
"12a7m","13.5","14.9","20.6","23.7","31.9"
"12a8m","13.6","14.9","20.6","23.8","32"
"12a9m","13.6","15","20.7","23.9","32.2"
"12a10m","13.6","15","20.8","24","32.3"
"12a11m","13.7","15","20.9","24.1","32.5"
